Competency;Level;Behavior
Animal Welfare;Awareness;components required to be able to demonstrate skills and behaviours at a higher level. This knowledge may have been acquired through post secondary education or early during a worker’s career.
Animal Welfare;Beginner;have sufficient subject matter knowledge but have limited experiential knowledge. They apply principles in usual/simple situations or participate in more complex situations. They require frequent guidance or oversight.
Animal Welfare;Competent;same of similar job. This person has confidence for independent performance and is able apply principles in more complex situations. 4-      Proficiency Level: The proficient worker can modify plans in response to events. They provide advice and training to lower level staff and support design and implementation of new task, behavior, or function.
Animal Welfare;Expert;from a deep understanding of the total situation to plan and design new strategies, policies, tasks, behaviors at an organizational or national level        TOM Competency framework Disease control short Nov2022  Disease Control Competency Framework
Application of Epidemiological Principles;Awareness;– explain general principles of descriptive epidemiology, its application to disease and disease control – access and use appropriate information sources (SOPs) – explain how to conduct an epidemiological inquiry in case of occurrence of a reportable disease
Application of Epidemiological Principles;Beginner;- apply knowledge of the epidemiological characteristics of  infectious diseases
Application of Epidemiological Principles;Beginner;-  assist  an epidemiological inquiry (collect epidemiological data on prepared form) in case of occurrence of a reportable disease
Application of Epidemiological Principles;Beginner;- describe the epidemiological approaches needed in cases of animal emergencies and the impacts of selected epidemiological approaches (individual vs population)
Application of Epidemiological Principles;Competent;- lead epidemiological investigation on suspect/confirmed premise (Includes trace outs and ins, applying case definition)
Application of Epidemiological Principles;Competent;- determine disease transmission pathways on infected premises, includes using field epi- knowledge to gather data.
Application of Epidemiological Principles;Competent;-assess disease investigation data (quality and completeness).
Application of Epidemiological Principles;Proficient;- apply advanced epidemiology principles to determine source of outbreak
Application of Epidemiological Principles;Proficient;- validate and analyse field level data
Application of Epidemiological Principles;Proficient;- use epidemiological models
Application of Epidemiological Principles;Proficient;- conduct risk analysis make recommendations on actions to implement
Application of Epidemiological Principles;Proficient;- foresees impacts (benefits, liabilities, stakeholder impacts)
Application of Epidemiological Principles;Proficient;-develops epidemiological questionnaires
Application of Epidemiological Principles;Proficient;- designs tools to collect data and makes decisions based on data gathered (i.e. surveillance strategy)
Application of Epidemiological Principles;Expert;- guide development of strategic response plans including animal, human and environmental sectors (one health)
Application of Epidemiological Principles;Expert;- predict likelihood of achieving goals foresees impacts (benefits, liabilities, stakeholders)
Application of Epidemiological Principles;Expert;- responsible for advanced planning during an outbreak, recovery strategy      TOM Competency framework Disease control short Nov2022
Transboundary Diseases;Awareness;"– list and describe the common TADs (affected species, clinical signs, differential diagnosis, clinical course, basic routes of transmission, potential routes of entry into country) – list therapeutic tools used to prevent and combat (including vaccination) – find up-to-date distribution information;"
Transboundary Diseases;Beginner;- list notifable TADs
Transboundary Diseases;Beginner;- identify national reporting system
Transboundary Diseases;Beginner;- describe the pathogen, lesions,  pathophysiology,  transmission potential (including vectors) and sampling
Transboundary Diseases;Beginner;- describe any need for PPE for health and safety
Transboundary Diseases;Beginner;- list diagnostic  tools used to prevent and combat
Transboundary Diseases;Beginner;- be able to examine live animals
Transboundary Diseases;Competent;– perform clinical examination of herd and individual animal with suspected TAD (includes post-mortem and species specific characteristics) – age lesions (If applicable) – determine animals to samples – be able to explain the rationale for the diagnostic and therapeutic tools – be able to determine likelihood that disease is a TAD (reliably diagnose suspicion)
Transboundary Diseases;Competent;-report as required
Transboundary Diseases;Proficient;– provide guidance and training to lower levels – adapt diagnostic and therapeutic tools based on new science – make recommendations/decisions when clinical signs are confusing or ambiguous – be able to is able to reach out to networks outside of home organization – be able to provide most up to date information on disease profile including results of recent research
Transboundary Diseases;Proficient;- describe burden of TADs at national Level ( morbidity, mortality, abortions, decreased production etc)
Transboundary Diseases;Proficient;-describe socioeconomic impact of TAD at national level * as TADs relates to veterinary knowledge      TOM Competency framework Disease control short Nov2022
Disease prevention and control programmes;Awareness;- explain principles of disease control (role/characteristic of surveillance) – describe established programs and their role in them for the prevention and control of TADs – explain the concept of “early detection system” – list which diseases of animals require compulsory notification – find up-to-date and reliable information regarding specific disease, prevention and control measures, including rapid response mechanisms – describe the One Health approach
Disease prevention and control programmes;Beginner;- participates in established disease control plans such as surveillance, vaccination campaigns, post vaccine monitoring, test-and-cull/treat programmes
Disease prevention and control programmes;Competent;– leads (on site or virtually)  implementation of disease control plans
Disease prevention and control programmes;Competent;-Summarize and report surveillance data, act if incident exceed thresholds –oversees local level public-private partnerships (Which could include leading a team, accreditation and/or audit)
Disease prevention and control programmes;Competent;- explain policies and outcomes to affected parties
Disease prevention and control programmes;Competent;- Coordinate with other parties and stakeholders for efficient implementation of the program
Disease prevention and control programmes;Competent;-recommend basic outbreak prevention and control measures
Disease prevention and control programmes;Proficient;- provide guidance to field staff on implementation and interpretation of programs in unusual/complex situations
Disease prevention and control programmes;Proficient;- describe why the policy was designed the way it was
Disease prevention and control programmes;Proficient;- predict the impact of changes in implementation of program and make recommendations
Disease prevention and control programmes;Proficient;-improve programs based on experience and applies lessons learned more broadly across stakeholders
Disease prevention and control programmes;Proficient;-develop public private partnerships at local level
Disease prevention and control programmes;Expert;- write/ modify programs based on  epidemiology, risk analysis, monitoring of results, global strategies for control of a disease including animal, human and environmental sectors (one health)
Disease prevention and control programmes;Expert;- evaluate cost effectiveness of program
Disease prevention and control programmes;Expert;-access  latest  science
Disease prevention and control programmes;Expert;- access and apply  governing body (ie OIE) best practices/recommendations
Disease prevention and control programmes;Expert;-  predict the likelihood of program achieving goals
Disease prevention and control programmes;Expert;-develop public private partnerships at national level     TOM Competency framework Disease control short Nov2022
Biosecurity;Awareness;-  define biosecurity
Biosecurity;Awareness;- explain on farm biosecurity practices
Biosecurity;Awareness;- recognize the principles of biosecurity
Biosecurity;Awareness;-recognize environments needing biosecurity
Biosecurity;Awareness;-describe the impacts of a breach in biosecurity
Biosecurity;Awareness;-mitigation measures
