course,learning objectives,keywords_str
 FEPC_Poland - starting course,Explain the pathogenesis of FMD.,"Explain, pathogenesis, FMD, ."
 FEPC_Poland - starting course,Explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis;,"Explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
 FEPC_Poland - starting course,Explain how to enter and leave a premises suspected of FMD in a biosecure manner.,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner, ."
 FEPC_Poland - starting course,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected.,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected, ."
 FEPC_Poland - starting course,"Describe the clinical signs of FMD in cattle, small ruminants and pigs.","Describe, clinical, signs, FMD, cattle, ,, small, ruminants, pigs, ."
 FEPC_Poland - starting course,Describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"Describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
 FEPC_Poland - starting course,Describe how to age FMD lesions.,"Describe, age, FMD, lesions, ."
Nordic-Baltic FMD Simulation Exercise - Induction course,"Plan a small scale simulation exercise of at least one type (table-top, drill, functional)","Plan, small, scale, simulation, exercise, least, one, type, (, table-top, ,, drill, ,, functional, )"
Nordic-Baltic FMD Simulation Exercise - Induction course,"Explain the importance of simulation exercises for improving emergency preparedness, and the purposes for which they can be used","Explain, importance, simulation, exercises, improving, emergency, preparedness, ,, purposes, used"
Nordic-Baltic FMD Simulation Exercise - Induction course,Explain the importance of setting the objectives before moving to the planning phase and develop a concept note for a simulation exercise,"Explain, importance, setting, objectives, moving, planning, phase, develop, concept, note, simulation, exercise"
Nordic-Baltic FMD Simulation Exercise - Induction course,Draft an evaluation plan for a simulation exercise,"Draft, evaluation, plan, simulation, exercise"
Nordic-Baltic FMD Simulation Exercise - Induction course,"Develop a needs-based, multi-year exercise programme using a progressive approach","Develop, needs-based, ,, multi-year, exercise, programme, using, progressive, approach"
Nordic-Baltic FMD Simulation Exercise - Induction course,"Describe the tasks to be carried out by the different roles in any type of simulation exercise and assume an active role as director, facilitator, evaluator or player during the conduct of one type of simulation exercise (table-top, drill, functional) ","Describe, tasks, carried, different, roles, type, simulation, exercise, assume, active, role, director, ,, facilitator, ,, evaluator, player, conduct, one, type, simulation, exercise, (, table-top, ,, drill, ,, functional, )"
ASF FAO RAP,Explain the pathogenesis of FMD.,"Explain, pathogenesis, FMD, ."
ASF FAO RAP,Explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis;,"Explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
ASF FAO RAP,Explain how to enter and leave a premises suspected of FMD in a biosecure manner.,"Explain, enter, leave, premises, suspected, FMD, biosecure, manner, ."
ASF FAO RAP,Explain how to conduct an epidemiological investigation on a premises where FMD is suspected.,"Explain, conduct, epidemiological, investigation, premises, FMD, suspected, ."
ASF FAO RAP,"Describe the clinical signs of FMD in cattle, small ruminants and pigs.","Describe, clinical, signs, FMD, cattle, ,, small, ruminants, pigs, ."
ASF FAO RAP,Describe key aspects of the control measures which are used in an FMD outbreak in a previously free country.,"Describe, key, aspects, control, measures, used, FMD, outbreak, previously, free, country, ."
ASF FAO RAP,Describe how to age FMD lesions.,"Describe, age, FMD, lesions, ."
ASF FAO REU,Recognize the clinical signs of ASF,"Recognize, clinical, signs, ASF"
ASF FAO REU,Explain which samples should be taken to enable laboratory diagnosis of ASF,"Explain, samples, taken, enable, laboratory, diagnosis, ASF"
ASF FAO REU,Explain the role of wild boar in transmission of ASF in Europe,"Explain, role, wild, boar, transmission, ASF, Europe"
ASF FAO REU,Explain how to conduct an epidemiological investigation on a premises where ASF is suspected,"Explain, conduct, epidemiological, investigation, premises, ASF, suspected"
ASF FAO REU,Explain how to adapt on-farm biosecurity on a premises to minimize risk of introduction of ASF,"Explain, adapt, on-farm, biosecurity, premises, minimize, risk, introduction, ASF"
ASF FAO REU,"Describe the most important control measures that would be used in the case of an ASF outbreak, in domestic pigs","Describe, important, control, measures, would, used, case, ASF, outbreak, ,, domestic, pigs"
ASF FAO REU,Describe the global significance of ASF,"Describe, global, significance, ASF"
ASF LAC,Recognize the clinical signs of ASF,"Recognize, clinical, signs, ASF"
ASF LAC,Explain which samples should be taken to enable laboratory diagnosis of ASF,"Explain, samples, taken, enable, laboratory, diagnosis, ASF"
ASF LAC,Explain the role of wild boar in transmission of ASF in Europe,"Explain, role, wild, boar, transmission, ASF, Europe"
ASF LAC,Explain how to conduct an epidemiological investigation on a premises where ASF is suspected,"Explain, conduct, epidemiological, investigation, premises, ASF, suspected"
ASF LAC,Explain how to adapt on-farm biosecurity on a premises to minimize risk of introduction of ASF,"Explain, adapt, on-farm, biosecurity, premises, minimize, risk, introduction, ASF"
ASF LAC,"Describe the most important control measures that would be used in the case of an ASF outbreak, in domestic pigs","Describe, important, control, measures, would, used, case, ASF, outbreak, ,, domestic, pigs"
ASF LAC,Describe the global significance of ASF,"Describe, global, significance, ASF"
ASF Serbian,Recognize the clinical signs of ASF,"Recognize, clinical, signs, ASF"
ASF Serbian,Explain which samples should be taken to enable laboratory diagnosis of ASF,"Explain, samples, taken, enable, laboratory, diagnosis, ASF"
ASF Serbian,Explain the role of wild boar in transmission of ASF in Europe,"Explain, role, wild, boar, transmission, ASF, Europe"
ASF Serbian,Explain how to conduct an epidemiological investigation on a premises where ASF is suspected,"Explain, conduct, epidemiological, investigation, premises, ASF, suspected"
ASF Serbian,Explain how to adapt on-farm biosecurity on a premises to minimize risk of introduction of ASF,"Explain, adapt, on-farm, biosecurity, premises, minimize, risk, introduction, ASF"
ASF Serbian,"Describe the most important control measures that would be used in the case of an ASF outbreak, in domestic pigs","Describe, important, control, measures, would, used, case, ASF, outbreak, ,, domestic, pigs"
ASF Serbian,Describe the global significance of ASF,"Describe, global, significance, ASF"
Developing RBSP in Sudan,Initiate or assist with the development of an RBSP,"Initiate, assist, development, RBSP"
Developing RBSP in Sudan,Identify and access additional resources available to assist with the development of an RBSP,"Identify, access, additional, resources, available, assist, development, RBSP"
Developing RBSP in Sudan,Explain the importance of the Risk Based Strategic Plan (RBSP) within the PCP-FMD,"Explain, importance, Risk, Based, Strategic, Plan, (, RBSP, ), within, PCP-FMD"
Developing RBSP in Sudan,"Describe the expertise needed to contribute to the RBSP, the stakeholder consultation required and some approaches to engage stakeholders ","Describe, expertise, needed, contribute, RBSP, ,, stakeholder, consultation, required, approaches, engage, stakeholders"
Developing RBSP in Sudan,Describe the content that should be included within an RBSP,"Describe, content, included, within, RBSP"
Developing RBSP in Sudan,Describe criteria that can be used to assess if developing an RBSP would be recommended for a country,"Describe, criteria, used, assess, developing, RBSP, would, recommended, country"
EuFMDIS workshop,use the EuFMDiS model. (Level 1),"use, EuFMDiS, model, ., (, Level, 1, )"
EuFMDIS workshop,run EuFMDiS using the GUI (Level 2),"run, EuFMDiS, using, GUI, (, Level, 2, )"
EuFMDIS workshop,"explain the etiology, spread pattern, control measures of FMD in EU. (Level 1)","explain, etiology, ,, spread, pattern, ,, control, measures, FMD, EU, ., (, Level, 1, )"
EuFMDIS workshop,describe different type of models being used in infectious disease modeling. (Level 1),"describe, different, type, models, used, infectious, disease, modeling, ., (, Level, 1, )"
EuFMDIS workshop," to communicate  adequately the results of model to decision makers, presenting the assumptions made and limitations of the model. (Level 2)","communicate, adequately, results, model, decision, makers, ,, presenting, assumptions, made, limitations, model, ., (, Level, 2, )"
EuFMDIS workshop, describe the role of EuFMDiS in the modeling of FMD.  (Level 1),"describe, role, EuFMDiS, modeling, FMD, ., (, Level, 1, )"
FEPC Canada 2,explain the pathogenesis of FMD;,"explain, pathogenesis, FMD, ;"
FEPC Canada 2,explain how to take correct diagnostic samples to enable laboratory confirmation of an FMD diagnosis;,"explain, take, correct, diagnostic, samples, enable, laboratory, confirmation, FMD, diagnosis, ;"
